trial,answer,height,width,x1,y1,stim_color1,probe_color1,x2,y2,stim_color2,probe_color2,x3,y3,stim_color3,probe_color3,x4,y4,stim_color4,probe_color4,x5,y5,stim_color5,probe_color5
11,probe4,0.05,0.05,0.1,0.2,#f0e442,#f0e442,-0.1,-0.2,#0072b2,#0072b2,-0.2,-0.1,#4A4A4A,#4A4A4A,-0.1,0.1,#009e73,#56b4e9,0.2,0.1,#e69f00,#e69f00
12,probe1,0.05,0.05,0.1,-0.2,#4A4A4A,#56b4e9,0.2,0,#cc79a7,#cc79a7,0.2,-0.2,#0072b2,#0072b2,-0.2,0,#009e73,#009e73,0,-0.2,#d55e00,#d55e00
13,probe2,0.05,0.05,0.1,0.1,#4A4A4A,#4A4A4A,0.2,-0.1,#e69f00,#0072b2,-0.1,0.1,#f0e442,#f0e442,-0.2,-0.1,#56b4e9,#56b4e9,0,0.1,#cc79a7,#cc79a7
14,probe3,0.05,0.05,0.2,-0.2,#e69f00,#e69f00,0.1,0.1,#4A4A4A,#4A4A4A,0.2,0.2,#d55e00,#009e73,0.2,0.1,#56b4e9,#56b4e9,0.1,0.2,#cc79a7,#cc79a7
15,probe1,0.05,0.05,0,-0.2,#d55e00,#009e73,-0.1,0.1,#f0e442,#f0e442,0.1,0.2,#cc79a7,#cc79a7,-0.2,0.2,#0072b2,#0072b2,-0.1,0.2,#e69f00,#e69f00
16,probe1,0.05,0.05,-0.2,0.2,#f0e442,#d55e00,0,0.1,#0072b2,#0072b2,-0.2,-0.1,#009e73,#009e73,-0.2,0.1,#56b4e9,#56b4e9,-0.1,0.1,#4A4A4A,#4A4A4A
17,probe4,0.05,0.05,-0.1,0,#4A4A4A,#4A4A4A,-0.2,-0.2,#e69f00,#e69f00,0.1,0,#0072b2,#0072b2,0.2,0.2,#56b4e9,#f0e442,0.1,0.2,#d55e00,#d55e00
18,probe2,0.05,0.05,-0.1,0.1,#cc79a7,#cc79a7,-0.1,-0.1,#f0e442,#56b4e9,-0.2,-0.2,#009e73,#009e73,0,0.1,#d55e00,#d55e00,-0.2,0.1,#4A4A4A,#4A4A4A
19,probe1,0.05,0.05,0.2,0.1,#d55e00,#0072b2,-0.1,-0.1,#e69f00,#e69f00,-0.1,0.2,#56b4e9,#56b4e9,0.2,0.2,#cc79a7,#cc79a7,0,0.2,#4A4A4A,#4A4A4A
20,probe5,0.05,0.05,-0.2,0.2,#4A4A4A,#4A4A4A,0.2,0.2,#d55e00,#d55e00,0.1,0.2,#0072b2,#0072b2,0,-0.2,#56b4e9,#56b4e9,0,0.2,#f0e442,#009e73
21,probe5,0.05,0.05,0,0.2,#009e73,#009e73,0,-0.1,#f0e442,#f0e442,0.2,-0.1,#4A4A4A,#4A4A4A,0,0.1,#e69f00,#e69f00,0.2,0.2,#0072b2,#d55e00
22,probe1,0.05,0.05,0,-0.2,#e69f00,#0072b2,0.2,-0.1,#d55e00,#d55e00,-0.1,0.1,#56b4e9,#56b4e9,0.1,0.2,#cc79a7,#cc79a7,-0.1,0.2,#f0e442,#f0e442
23,probe2,0.05,0.05,-0.2,-0.1,#4A4A4A,#4A4A4A,0.1,-0.1,#0072b2,#56b4e9,-0.1,0.2,#cc79a7,#cc79a7,0,0.1,#009e73,#009e73,0.2,0,#d55e00,#d55e00
24,probe3,0.05,0.05,0.2,-0.2,#56b4e9,#56b4e9,0,-0.1,#009e73,#009e73,0.1,-0.2,#4A4A4A,#cc79a7,0,-0.2,#d55e00,#d55e00,0.2,0.2,#e69f00,#e69f00
25,probe3,0.05,0.05,0.1,-0.2,#009e73,#009e73,-0.1,-0.1,#d55e00,#d55e00,0.1,-0.1,#56b4e9,#f0e442,-0.1,0,#cc79a7,#cc79a7,-0.1,0.2,#4A4A4A,#4A4A4A
26,probe3,0.05,0.05,-0.1,0.1,#cc79a7,#cc79a7,0,-0.2,#4A4A4A,#4A4A4A,0.2,0.2,#d55e00,#0072b2,0.2,-0.2,#56b4e9,#56b4e9,-0.2,0.2,#009e73,#009e73
27,probe4,0.05,0.05,-0.1,-0.2,#f0e442,#f0e442,0.1,0.2,#d55e00,#d55e00,-0.2,0.1,#56b4e9,#56b4e9,-0.2,-0.2,#009e73,#cc79a7,0.1,-0.2,#4A4A4A,#4A4A4A
28,probe3,0.05,0.05,0,0.1,#d55e00,#d55e00,0.1,-0.1,#cc79a7,#cc79a7,0.2,0,#0072b2,#f0e442,0,-0.2,#e69f00,#e69f00,-0.2,0,#56b4e9,#56b4e9
29,probe5,0.05,0.05,-0.2,-0.2,#e69f00,#e69f00,0.1,-0.1,#cc79a7,#cc79a7,0.1,0.1,#f0e442,#f0e442,0,-0.1,#4A4A4A,#4A4A4A,0.2,-0.1,#d55e00,#009e73
30,probe4,0.05,0.05,-0.2,-0.2,#56b4e9,#56b4e9,-0.1,0.1,#009e73,#009e73,0.2,0,#f0e442,#f0e442,-0.2,0,#4A4A4A,#d55e00,-0.2,0.2,#cc79a7,#cc79a7
31,probe4,0.05,0.05,0,-0.1,#4A4A4A,#4A4A4A,-0.1,0.2,#e69f00,#e69f00,0.1,0,#f0e442,#f0e442,-0.1,0,#0072b2,#d55e00,0,-0.2,#56b4e9,#56b4e9
32,probe4,0.05,0.05,0.2,0.2,#0072b2,#0072b2,0,-0.1,#cc79a7,#cc79a7,0.2,0.1,#56b4e9,#56b4e9,-0.1,0.1,#e69f00,#f0e442,-0.2,0.1,#4A4A4A,#4A4A4A
33,probe4,0.05,0.05,0,0.1,#0072b2,#0072b2,0.1,0.2,#56b4e9,#56b4e9,-0.1,0.1,#cc79a7,#cc79a7,0.1,0.1,#d55e00,#e69f00,-0.1,-0.2,#009e73,#009e73
34,probe1,0.05,0.05,0,0.1,#0072b2,#009e73,0.2,-0.1,#f0e442,#f0e442,0.2,0.2,#e69f00,#e69f00,-0.2,0,#d55e00,#d55e00,-0.2,0.2,#cc79a7,#cc79a7
35,probe5,0.05,0.05,0,0.1,#d55e00,#d55e00,0.1,0,#e69f00,#e69f00,-0.1,0,#f0e442,#f0e442,0.1,-0.2,#4A4A4A,#4A4A4A,0,-0.2,#0072b2,#cc79a7
36,probe2,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,0,0.2,#56b4e9,#f0e442,-0.1,0.1,#0072b2,#0072b2,-0.1,-0.2,#cc79a7,#cc79a7,0,0.1,#009e73,#009e73
37,probe5,0.05,0.05,0,0.2,#009e73,#009e73,-0.2,-0.2,#f0e442,#f0e442,0.2,0.1,#4A4A4A,#4A4A4A,0.2,-0.1,#56b4e9,#56b4e9,-0.1,-0.2,#cc79a7,#e69f00
38,probe5,0.05,0.05,0.1,-0.1,#4A4A4A,#4A4A4A,0,-0.1,#d55e00,#d55e00,0,-0.2,#f0e442,#f0e442,0.2,-0.2,#56b4e9,#56b4e9,0.2,-0.1,#cc79a7,#0072b2
39,probe3,0.05,0.05,-0.1,0.1,#e69f00,#e69f00,0.2,-0.1,#0072b2,#0072b2,0.2,0.2,#f0e442,#009e73,-0.2,0.1,#cc79a7,#cc79a7,0.1,0.1,#d55e00,#d55e00
40,probe2,0.05,0.05,-0.1,0,#56b4e9,#56b4e9,0.2,0,#e69f00,#d55e00,0.1,-0.2,#009e73,#009e73,0,-0.2,#f0e442,#f0e442,-0.2,0.2,#cc79a7,#cc79a7
41,probe5,0.05,0.05,-0.2,0.2,#cc79a7,#cc79a7,0.2,0.2,#4A4A4A,#4A4A4A,0.1,-0.2,#d55e00,#d55e00,0,-0.1,#f0e442,#f0e442,-0.2,-0.1,#56b4e9,#0072b2
42,probe4,0.05,0.05,-0.1,0,#d55e00,#d55e00,-0.1,0.2,#e69f00,#e69f00,-0.2,0.2,#0072b2,#0072b2,0.1,-0.1,#009e73,#56b4e9,0.1,-0.2,#cc79a7,#cc79a7
43,probe1,0.05,0.05,-0.2,-0.1,#0072b2,#cc79a7,-0.1,-0.2,#f0e442,#f0e442,0,-0.2,#d55e00,#d55e00,0,0.1,#e69f00,#e69f00,0,-0.1,#4A4A4A,#4A4A4A
44,probe3,0.05,0.05,-0.1,-0.1,#e69f00,#e69f00,-0.2,0.1,#f0e442,#f0e442,0.2,0,#4A4A4A,#0072b2,0.2,0.1,#cc79a7,#cc79a7,0.2,-0.1,#56b4e9,#56b4e9
45,probe4,0.05,0.05,0.2,0,#d55e00,#d55e00,-0.1,0,#4A4A4A,#4A4A4A,-0.1,0.1,#009e73,#009e73,0,0.2,#f0e442,#e69f00,-0.1,-0.2,#cc79a7,#cc79a7
46,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,-0.2,0.2,#d55e00,#d55e00,-0.1,0.2,#cc79a7,#cc79a7,0,0.2,#f0e442,#0072b2,-0.2,0,#009e73,#009e73
47,probe5,0.05,0.05,0.2,0.2,#e69f00,#e69f00,0.2,0,#f0e442,#f0e442,0,-0.1,#56b4e9,#56b4e9,-0.2,0,#cc79a7,#cc79a7,-0.1,0.2,#d55e00,#4A4A4A
48,probe3,0.05,0.05,0.1,0,#56b4e9,#56b4e9,0.1,-0.1,#e69f00,#e69f00,0,-0.2,#4A4A4A,#009e73,0.2,-0.1,#f0e442,#f0e442,0.2,0,#cc79a7,#cc79a7
49,probe3,0.05,0.05,-0.2,-0.2,#e69f00,#e69f00,-0.2,-0.1,#009e73,#009e73,0.1,-0.2,#d55e00,#4A4A4A,-0.1,0,#56b4e9,#56b4e9,0.1,0.2,#f0e442,#f0e442
50,probe3,0.05,0.05,-0.1,0.2,#e69f00,#e69f00,0.2,-0.2,#f0e442,#f0e442,-0.1,-0.1,#0072b2,#4A4A4A,0,-0.2,#009e73,#009e73,0.2,0.1,#56b4e9,#56b4e9
